"name","authorities","region","address","telephone","principal","religion","main_deity","religious_group_id","religion_id","main_deity_id"
"順天宮","臺中市政府","臺中市烏日區","螺潭里溪南路二段257巷26號","04-23350257","洪朝春","道教","三府王爺",56,"1","32"
"大進禪寺","宜蘭縣政府","宜蘭縣冬山鄉","大進村大進二路391號","039-9510436","李寶玉","佛教","釋迦牟尼佛",57,"2","5"
"中合寺","宜蘭縣政府","宜蘭縣冬山鄉","補城村三堵路627號","03-9593637","邱國華","佛教","觀音佛祖",58,"2","19"
"福天宮","臺中市政府","臺中市新社區","福興里美林67號","04-25941895","陳錦郎","道教","天上聖母",59,"1","11"
"瑞穗青蓮寺","花蓮縣政府","花蓮縣瑞穗鄉","瑞美村仁愛路109號","03-8872128","陳廖安","其他(佛教)","釋迦牟尼佛",60,"4","5"
"新興福德祠","新竹市政府","新竹市北區","舊社里4鄰鐵道路二段166巷47號","03-5310216","鄭正義","道教","福德正神",61,"1","1"
"赤崁慈皇宮","高雄市政府","高雄市梓官區","赤崁里赤崁東路235巷82-3號","07-6171232","王政雄","道教","田島千歲",62,"1","33"
"大壽宮","高雄市政府","高雄市梓官區","大舍里大舍東路公厝巷4號","07-6176715","郭松和","道教","天上聖母",63,"1","11"
"朝天宮","彰化縣政府","彰化縣和美鎮","湖內里湖竹路塗厝厝小段147地號","04-7564033","姚情全","道教","姚府千歲",64,"1","34"
"三聖宮","雲林縣政府","雲林縣莿桐鄉","興貴村興北63之10號","093-7749171","林志鑫","道教","關聖帝君",65,"1","35"
"威德廟","基隆市政府","基隆市暖暖區","八堵里第3鄰源遠路28巷16號","02-24573823","鄭怡信","道教","三府王爺",66,"1","32"
"萬善祠","宜蘭縣政府","宜蘭縣員山鄉","逸仙村大安路40號附近(鼻頭角戲水區山上)","","游朝輝","道教","萬善祠公",67,"1","36"
"瑞天禪寺","花蓮縣政府","花蓮縣瑞穗鄉","瑞美村忠孝路57號","03-8875269","邱子庭","佛教","千手觀音",68,"2","37"
"旗津天聖宮","高雄市政府","高雄市旗津區","旗津三路52號","07-5715459","黃福盛","道教","天上聖母",69,"1","11"
"鎮靈宮","屏東縣政府","屏東縣東港鎮","新基街68號","08-8325188","陳楊來金","道教","關聖帝君",70,"1","35"
"慶安宮","彰化縣政府","彰化縣埔鹽鄉","永樂村大新路2巷96號","04-8652564","林瑞登","道教","荊府上帝",71,"1","38"
"丸山福德正神","宜蘭縣政府","宜蘭縣冬山鄉","丸山村丸山路145號","03-9581729","吳維新","道教","土地公",72,"1","25"
"福安廟","宜蘭縣政府","宜蘭縣冬山鄉","三奇村三奉路211號","03-9591947","李淑華","道教","土地公",73,"1","25"
"德興宮","雲林縣政府","雲林縣虎尾鎮","中山里中正路172號","05-6323450","張見福","道教","池府千歲",74,"1","39"
"新興宮","雲林縣政府","雲林縣虎尾鎮","新興里新生路141號","05-6324282","林永深","道教","吳府三王爺",75,"1","40"
"靈鳳廟","南投縣政府","南投縣鹿谷鄉","中正路二段190巷14弄5號","049-2755195","張維營","道教","慚愧祖師",76,"1","41"
"台北協天宮","臺北市政府","臺北市大同區","斯文里大龍街89-1號","02-25923987","黃志成","道教","關聖帝君",77,"1","35"
"龍虎山紫雲殿","高雄市政府","高雄市甲仙區","寶隆里嶺頂巷11號","07-6754285","陳淑麗","道教","玄天上帝",78,"1","8"
"龍鳳山龍鳳寺","高雄市政府","高雄市甲仙區","東安里油礦巷3號","07-6752331","康苗杰","佛教","天上聖母",79,"2","11"
"聖靈宮","苗栗縣政府","苗栗縣西湖鄉","茅仔埔五湖村17鄰241號","037-911093","李森雄","道教","關聖帝君",80,"1","35"
"保玄宮","臺南市政府","臺南市麻豆區","港尾里姓陳寮3鄰2-3號","06-5702793","李進輝","道教","保生大帝",81,"1","31"
"花蓮開靈宮","花蓮縣政府","花蓮縣花蓮市","中山路國慶里一段18巷75弄15-8號","03-8561312","江亮霆","道教","開漳聖王",82,"1","42"
"天孝宮","臺中市政府","臺中市烏日區","弘德街61巷20弄30號","04-23377585","廖國欽","道教","元始天尊",83,"1","43"
"福安宮","臺中市政府","臺中市霧峰區","六股里六股路190之4號","04-23323682","邱大章","道教","五府千歲",84,"1","10"
"東興宮","臺中市政府","臺中市新社區","東興里興社街一段139號","04-25819665","邵建誌","道教","天上聖母",85,"1","11"
"昊天宮","臺中市政府","臺中市新社區","崑山里崑南街36-1號","04-25812502","黃文宏","道教","玉皇上帝",86,"1","44"
"廣興宮","雲林縣政府","雲林縣莿桐鄉","饒平村饒平路130號","093-2690273","林復榮","道教","池府千歲",87,"1","39"
"寶華山慈惠堂","臺東縣政府","臺東縣鹿野鄉","和村路仙山瑞2號","089-581229","陳麗珠","道教","瑤池金母",88,"1","45"
"慧光精舍","臺中市政府","臺中市后里區","義里里甲后路一段278巷80號","04-25517820","張阿京","佛教","阿彌陀佛",89,"2","29"
"福德祠〈墩東村文明路〉","臺中市政府","臺中市后里區","墩東里文明路23-1號","04-25574473","張明義","道教","福德正神",90,"1","1"
"東興宮","屏東縣政府","屏東縣東港鎮","興農里(路)69-8號","08-8311396","張達陽","道教","朱府千歲",91,"1","26"
"東津碧靈堂","屏東縣政府","屏東縣東港鎮","東隆里共和街2-7號","08-8320065","許登瑞","道教","徐府三千歲",92,"1","46"
"南安宮","屏東縣政府","屏東縣南州鄉","七塊村七塊路36號","08-8641820","許宏基","道教","吳府千歲",93,"1","47"
"下坑福德祠","高雄市政府","高雄市路竹區","下坑里福善段974地號","07-6952104","鄭倉雲","道教","福德正神",94,"1","1"
"路竹天后宮","高雄市政府","高雄市路竹區","竹西里聖母街60-1號","07-6966417","林景星","道教","天上聖母",95,"1","11"
"北極殿","高雄市政府","高雄市路竹區","甲北里大智路","07-6966654","林福順","道教","北極玄天上帝",96,"1","48"
"豐原觀音堂","臺中市政府","臺中市豐原區","互助街68號","04-25332271","林錫淵","道教","觀世音菩薩",97,"1","2"
"新安宮","嘉義縣政府","嘉義縣鹿草鄉","鹿東村9鄰24之3號","05-3751831","陳永昆","道教","保生大帝",98,"1","31"
"開山宮","嘉義縣政府","嘉義縣鹿草鄉","鹿草村13鄰長壽路250巷59號附1","05-3751788","陳黎城","道教","開台尊王",99,"1","49"
"明安宮","嘉義縣政府","嘉義縣鹿草鄉","豐稠村3鄰海豐21之1號","05-3752552","柯朝宗","道教","刑王爺",100,"1","23"
"寂圓精舍","高雄市政府","高雄市甲仙區","寶隆里嶺頂巷73之2號","07-6753550","蔡錦雲","佛教","釋迦牟尼佛",101,"2","5"
"橋頭珠惠宮","臺南市政府","臺南市白河區","馬稠後里7鄰草店93-2號","06-6816068","施達華","道教","觀音佛祖",102,"1","19"
"朝天宮","臺南市政府","臺南市麻豆區","麻口里番子寮9鄰23-1號","06-5700090","葉芳明","道教","天上聖母",103,"1","11"
"正安宮","臺南市政府","臺南市麻豆區","井東里10鄰安業277號之4","06-5724209","吳建霖","道教","五府千歲",104,"1","10"
"頭前厝福德宮","臺中市政府","臺中市烏日區","前竹里中山路一段和平巷2號","09-28310648","廖崑登","道教","福德正神",105,"1","1"
"忠義聖堂","宜蘭縣政府","宜蘭縣冬山鄉","柯林村柯林一路23號","03-9511226","吳修全","道教","關聖帝君",106,"1","35"
"覺善堂","宜蘭縣政府","宜蘭縣冬山鄉","永美村美和路二段205號","03-9582238","許桂郎","佛教","觀音佛祖",107,"2","19"
"聖壽宮","臺中市政府","臺中市新社區","中和里龍安30號","04-25931389","鄧秀葉","道教","天上聖母",108,"1","11"
"安樂蘭若","臺中市政府","臺中市新社區","福興里17鄰永豐18-5號","049-2432084","張馨方","佛教","阿彌陀佛",109,"2","29"
"新竹市明福宮","新竹市政府","新竹市北區","竹光路124巷27-3號","03-5439996","彭來成","道教","玄天上帝",110,"1","8"
"學田順興宮","臺中市政府","臺中市烏日區","學田里學田路605巷27號","04-23379318","陳明選","道教","殷府王爺",111,"1","50"
"興濟堂","高雄市政府","高雄市梓官區","智蚵里通安路212巷70號","07-6179825","黃啟發","道教","保生大帝",112,"1","31"
"德安宮","彰化縣政府","彰化縣和美鎮","大霞里彰和路三段437號","04-7552239","陳裕雄","道教","清水祖師",113,"1","27"
"法雲庵感德堂","雲林縣政府","雲林縣莿桐鄉","興貴村興北116號","093-2690273","林復榮","道教","關聖帝君",114,"1","35"
"碧仙宮","宜蘭縣政府","宜蘭縣員山鄉","永和村溫泉路65號","03-9225816","黃天賜","道教","三山國王",115,"1","12"
"福興廟","宜蘭縣政府","宜蘭縣員山鄉","惠好村賢德路二段66巷50號","03-9222377","張錫華","道教","三山國王",116,"1","12"
"大慈精舍","花蓮縣政府","花蓮縣瑞穗鄉","瑞穗村瑞達路二段601號","03-8873421","釋道起","佛教","觀世音菩薩",117,"2","2"
"東港鎮同安堂","屏東縣政府","屏東縣東港鎮","八德里通明街1號","08-8324057","郭世和","道教","五府千歲",118,"1","10"
"西德宮","彰化縣政府","彰化縣埔鹽鄉","西湖村大新路2巷66之1號","04-8651385","陳慶煙","道教","五六府千歲",119,"1","51"
"埔鹽順澤宮","彰化縣政府","彰化縣埔鹽鄉","埔鹽村中正路55號","04-8658890","魏信顧","道教","玄天上帝",120,"1","8"
"萬壽堂","高雄市政府","高雄市路竹區","甲北里永華路69號","07-6967477","王清湖","道教","萬聖王",121,"1","52"
"妙宗寺","雲林縣政府","雲林縣虎尾鎮","東仁里民族路60號","05-6328219","陳福義","佛教","",122,"2","1918"
"拱雲宮","雲林縣政府","雲林縣虎尾鎮","埒內里174號","05-6220327","林進富","佛教","趙府元帥（趙子龍公）",123,"2","53"
"鳳凰山寺","南投縣政府","南投縣鹿谷鄉","鳳凰村廟口巷10號","049-2754809","陳志善","道教","慚愧祖師",124,"1","41"
"聖保宮","高雄市政府","高雄市甲仙區","大田里百葉巷8之3號","07-6753416","李嘉治","道教","林府四元帥",125,"1","54"
"開天玉府天宮","高雄市政府","高雄市甲仙區","西安里和南巷6號","07-6751349","李榮河","道教","無極至尊",126,"1","55"
"天福宮","苗栗縣政府","苗栗縣西湖鄉","金獅村2鄰9號","037-923966","何國章","道教","關聖帝君",127,"1","35"
"正德堂","臺南市政府","臺南市麻豆區","安正里20之2號","06-5726225","林水福","道教","王府老爺",128,"1","56"
"慈雲慈惠堂","臺中市政府","臺中市烏日區","螺潭里太明路成豐巷235弄61號","04-23354058","陳秀鑾","道教","瑤池金母",129,"1","45"
"松樹門福德廟","宜蘭縣政府","宜蘭縣冬山鄉","鹿埔村松樹路101號旁","03-9585637","黃卓成","道教","福德正神",130,"1","1"
"福德廟","宜蘭縣政府","宜蘭縣冬山鄉","東城村東福路232號","093-244696","游像銘","道教","福德正神",131,"1","1"
"正覺精舍","臺中市政府","臺中市新社區","協成里協興街78號","04-25822627","江美麗","佛教","觀世音菩薩",132,"2","2"
"萬士爺廟","新竹市政府","新竹市北區","東大路三段377巷20號旁","920111593","林再興","道教","冥應公",133,"1","57"
"佑聖宮","新竹市政府","新竹市北區","康樂里公道五路5段195號","920111593","林再興","道教","玄天上帝",134,"1","8"
"天后宮","雲林縣政府","雲林縣莿桐鄉","埔尾村油車72號","05-5517001","張西安","道教","天上聖母",135,"1","11"
"文武聖廟感德堂","雲林縣政府","雲林縣莿桐鄉","饒平村饒平西路30號","05-5847556","蔡江城","道教","關聖帝君",136,"1","35"
"大鵬山上清宮","臺中市政府","臺中市后里區","廣福里內東路廣利巷6-1號","04-25572273","傅裕峰","道教","道德天尊",137,"1","58"
"正法輪寺","花蓮縣政府","花蓮縣瑞穗鄉","瑞祥村4鄰135號","03-8873186","徐明輝","佛教","釋迦牟尼佛",138,"2","5"
"皇媽慈惠堂","花蓮縣政府","花蓮縣瑞穗鄉","富源村13鄰廣東?101號","03-8811978","鍾兆湧","道教","彌天老母",139,"1","59"
"憫愍寺","高雄市政府","高雄市旗津區","旗津三路788號","07-5710302","紀夙緣","佛教","觀世音菩薩",140,"2","2"
"龍水宮","彰化縣政府","彰化縣埔鹽鄉","出水村埔港路39號","04-8654097","陳杉鴻","道教","張天師",141,"1","60"
"順安福德廟","宜蘭縣政府","宜蘭縣冬山鄉","順安村義成路三段61巷1弄15號後","03-9586009","林文連","道教","福德正神",142,"1","1"
"下坑福善宮","高雄市政府","高雄市路竹區","下坑里太平路276號","07-6952104","鄭倉雲","道教","李府千歲",143,"1","22"
"普賢寺","臺中市政府","臺中市豐原區","水源路中坑巷臨16之1號","04-25256360","張淑娥","佛教","釋迦牟尼佛",144,"2","5"
"上玄宮","南投縣政府","南投縣鹿谷鄉","興產路82之11號","049-2755349","李敬明","道教","觀世音菩薩",145,"1","2"
"正覺精舍","南投縣政府","南投縣埔里鎮","史港里獅子路3鄰1之6號","049-2931907","李子成","佛教","阿彌陀佛",146,"2","29"
"人乘寺地藏院","南投縣政府","南投縣埔里鎮","牛眠里10鄰牛尾路1之12號","049-2932588","李文達","佛教","地藏王菩薩",147,"2","61"
"靈隱寺","高雄市政府","高雄市甲仙區","寶隆里光華路2號","07-6752123","王老得","道教","濟公活佛",148,"1","62"
"順安宮","臺南市政府","臺南市白河區","詔豐里11鄰106-1號","06-6831113","張土","道教","福德正神",149,"1","1"
"月眉里福德祠","臺中市政府","臺中市后里區","月眉里雲頭路45-1號","04-25560225","曹慶松","道教","福德正神",150,"1","1"
"保安宮","臺南市政府","臺南市麻豆區","總榮里3鄰32號","06-5722718","胡書振","道教","李府千歲",151,"1","22"
"南興宮","臺中市政府","臺中市烏日區","溪南路一段680巷75號","04-23353382","賴柏麟","道教","三官大帝",152,"1","63"
"竺蓮寺","宜蘭縣政府","宜蘭縣冬山鄉","順安村永興路一段336巷3號","03-9580352","林鳳嬌","佛教","釋迦牟尼佛",153,"2","5"
"丸山太子宮","宜蘭縣政府","宜蘭縣冬山鄉","丸山村溪心路185巷22號","985332668","卓月珠","道教","中壇元帥",154,"1","64"
"法揚宮","臺中市政府","臺中市霧峰區","四德里四德路572號","04-23335779","翁良材","道教","三官大帝",155,"1","63"
"九股福德祠","臺中市政府","臺中市霧峰區","北勢里北豐路236巷39號","04-23391854","吳明財","道教","土地公",156,"1","25"
"保安宮","花蓮縣政府","花蓮縣瑞穗鄉","富民村中正路一段239號","03-8811306","王祥富","道教","城隍尊神",157,"1","65"
"民富福德宮","新竹市政府","新竹市北區","民富里5鄰延平路一段138巷52-1號","03-5212079","王清明","道教","福德正神",158,"1","1"
"慈源禪寺","高雄市政府","高雄市梓官區","茄苳里嘉好路惠民巷81-1號","07-6174576","溫珍美","佛教","釋迦牟尼佛",159,"2","5"
"保安宮","彰化縣政府","彰化縣和美鎮","竹營里和頭路72號","04-7554802","黃真忠","道教","玉皇大帝",160,"1","66"
"鳳儀宮","雲林縣政府","雲林縣莿桐鄉","南安路36號","05-5845560","林秋城","道教","中壇元帥",161,"1","64"
"慈元寺","宜蘭縣政府","宜蘭縣員山鄉","湖西村18鄰二湖路200號","03-9225358","吳新吉","佛教","觀音佛祖",162,"2","19"
"慈賢宮","臺中市政府","臺中市后里區","月眉里雲頭路公會巷9號2樓","04-25568844","張戊標","道教","天上聖母",163,"1","11"
"法名精舍","花蓮縣政府","花蓮縣瑞穗鄉","舞鶴村5鄰136號","03-8873353","張大舜","佛教","釋迦牟尼佛",164,"2","5"
"大潭保安宮","屏東縣政府","屏東縣東港鎮","大潭里(路)17-9號","08-8351356","郭俊雄","道教","保生大帝",165,"1","31"
"鎮安宮","屏東縣政府","屏東縣南州鄉","七塊村文化路2巷1-2號","08-8643690","陳介鄰","道教","吳府千歲",166,"1","47"
"天清宮","彰化縣政府","彰化縣埔鹽鄉","瓦?村光明路二段66號","04-8653547","施德旺","道教","天上聖母",167,"1","11"
"天慈宮","宜蘭縣政府","宜蘭縣冬山鄉","得安村三清路2號","933772299","黃子忠","道教","關聖帝君",168,"1","35"
"三奇村福德宮","宜蘭縣政府","宜蘭縣冬山鄉","三奇村三福路123號","03-9592656","邱金連","道教","土地公",169,"1","25"
"福德廟","宜蘭縣政府","宜蘭縣冬山鄉","東城村安平路781號","03-9592969","李正雄","道教","土地公",170,"1","25"
"永南宮","臺中市政府","臺中市豐原區","水源路310巷1號","04-25206886","楊進生","道教","中壇元帥",171,"1","64"
"泰安寺","雲林縣政府","雲林縣虎尾鎮","穎川里頂南116號","05-6322650","陳玟嘉","道教","清水祖師",172,"1","27"
"三聖宮","高雄市政府","高雄市甲仙區","關山里中和巷55之1號","07-6751739","江政勇","道教","神農大帝",173,"1","67"
"震威宮","高雄市政府","高雄市甲仙區","關山里中興路42巷28號","07-6751808","許智發","道教","玄天上帝",174,"1","8"
"花蓮鎮安宮","花蓮縣政府","花蓮縣花蓮市","國強里9鄰豐村117之1號","03-8562682","陳瑲翰","道教","古公三王",175,"1","68"
"仁德宮","臺中市政府","臺中市烏日區","中山路一段369巷43號","04-23371406","洪國華","道教","天上聖母",176,"1","11"
"烏日五張犁福德宮","臺中市政府","臺中市烏日區","五光路440號","04-23365372","林榮欽","道教","福德正神",177,"1","1"
"協明宮","宜蘭縣政府","宜蘭縣冬山鄉","順安村永興路一段279號厝後","03-9580020","游敬鑫","道教","關聖帝君",178,"1","35"
"長和宮","新竹市政府","新竹市北區","長和里1鄰北門街135號","03-5267510","楊金土","道教","天上聖母",179,"1","11"
"代天府","新竹市政府","新竹市北區","海濱里1鄰西濱路一段355號","03-5361597","彭德林","道教","五府千歲",180,"1","10"
"北極殿","新竹市政府","新竹市北區","西雅里3鄰中山路344巷14-1號","03-5213574","張清樑","道教","玄天上帝",181,"1","8"
"修悟堂","高雄市政府","高雄市梓官區","梓平里梓官路27號","07-6171462","黃嘉雄","道教","五府千歲",182,"1","10"
"玉仙宮","臺南市政府","臺南市麻豆區","南勢里25鄰86之4號","06-5728112","施清添","道教","觀世音菩薩",183,"1","2"
"地藏庵","基隆市政府","基隆市暖暖區","八堵路1巷67之1號","02-24575840","蔡春香","佛教","地藏王菩薩",184,"2","61"
"內東路福德祠","臺中市政府","臺中市后里區","義里里內東路343號","937587769","林峻成","道教","福德正神",185,"1","1"
"三聖公","高雄市政府","高雄市旗津區","旗津二路257-6號","07-5713766","孫石寅","道教","彩鳳公/谷主公/佑在公",186,"1","69"
"勸善社志德堂","高雄市政府","高雄市旗津區","中洲巷52號","07-5711433","翁榮春","其他(儒教)","關聖帝君 觀世音菩薩",187,"5","70"
"香吉堂","屏東縣政府","屏東縣東港鎮","八德里福德街69號","08-8324297","許秀雄","道教","田府元帥",188,"1","71"
"石聖爺廟","宜蘭縣政府","宜蘭縣冬山鄉","八寶村寶聖路25巷21號","933103285","羅朝生","道教","石聖爺",189,"1","72"
"城隍爺廟","宜蘭縣政府","宜蘭縣冬山鄉","東城村香中路508巷36之1號","03-9592036","黃萬金","道教","城隍爺",190,"1","73"
"一甲福德宮","高雄市政府","高雄市路竹區","甲北里平和路105-1號","07-6974321","王和雄","道教","福德正神",191,"1","1"
"下坑天龍宮","高雄市政府","高雄市路竹區","太平路下坑里262巷116號","07-6951651","王天勇","道教","五府千歲",192,"1","10"
"梓官清水寺","高雄市政府","高雄市梓官區","梓官路475巷41號","07-6179755","曾泰吉","道教","清水祖師",193,"1","27"
"德華寺","南投縣政府","南投縣埔里鎮","清新里10鄰延年巷33號","049-2423025","余宏仁","佛教","阿彌陀佛",194,"2","29"
"良天宮","臺南市政府","臺南市白河區","河東里7鄰154-1號","06-6852879","林正龍","道教","良崗尊王",195,"1","74"
"法泉寺","高雄市政府","高雄市甲仙區","西安里樂群巷2-1號","07-6753865","方進祥","佛教","釋迦牟尼佛",196,"2","5"
"武聖殿","臺南市政府","臺南市白河區","永安里10鄰新厝仔70-24號","06-6854976","楊英哲","道教","關聖帝君",197,"1","35"
"觀音寺","臺南市政府","臺南市麻豆區","油車里15鄰136號","06-5724155","陳永昌","佛教","觀音佛祖",198,"2","19"
"聖王宮","臺南市政府","臺南市麻豆區","大埕里16鄰大同街26號之1","06-5721937","陳金旺","道教","陳聖王",199,"1","75"
"建興宮","臺中市政府","臺中市烏日區","學田路便行巷182號","04-23373725","張登來","道教","開漳聖王",200,"1","42"
"寶雄寺","宜蘭縣政府","宜蘭縣冬山鄉","東城村冬山路一段37巷12號","03-9580618","游進盛","道教","釋迦佛祖",201,"1","76"
