activity_name,religious_group_name,region,note,month,day,activity_id,date
²½¨å,«C¶³®c,»O¥_¥«¤j¦P°Ï,,4,26,88, 2022-04-26
¤Ñ¤W¸t¥À¸t½Ï,·O¶³®c,»O«n¥«¦w«n°Ï,,3,23,89, 2022-03-23
²½¨å,¹Å¸q¿¤¥Á¶¯¶mºÖ¿³®c,¹Å¸q¿¤¥Á¶¯¶m,,2,2,90, 2022-02-02
²½¨å,¹Å¸q¿¤¥Á¶¯¶mºÖ¿³®c,¹Å¸q¿¤¥Á¶¯¶m,,8,15,91, 2022-08-15
¸t½Ï¤é,¥É¦®µL·¥·O¥À®c,·s¥_¥«²`§|°Ï,,6,13,92, 2022-06-13
¦ò½Ï¤é,¶ê³q¦x,¼ê´ò¿¤´ò¦è¶m,4¤ë9¡B19¤é¡A2¤ë19¡A6¤ë19¤é,4,8,93, 2022-04-08
«ô¦~ ¬èºÖ,ºÖ¥Ð¤Ñ´fÁ¿°ó,¹ü¤Æ¿¤¹ü¤Æ¥«,·s¦~¹Î«ô¡B¬èºÖ¡Bªk·|¡B¶}¥Ü¸g¨å¡B¹D¸q¡C,1,1,94, 2022-01-01
¥|©u¤j¨å ¥À¿Ë¸`¶é¹C·|,ºÖ¥Ð¤Ñ´fÁ¿°ó,¹ü¤Æ¿¤¹ü¤Æ¥«,3-6-9-11¤ë/15¡B¤­¤ë²Ä¤@¬P´Á¡AÂ§¦ò¡BÄm¨Ñ¡BÄm­»¡B½Ð¾Â¡B¹D³ß¡C¶é¹C·|¡BÂ\Åu¦ì¡B¯À­¹¸q½æ¡B¸`¥Øªíºt¡C,3,15,95, 2022-03-15
·³¥½ÃöÃh-¥V¥O±ÏÀÙ,ºÖ¥Ð¤Ñ´fÁ¿°ó,¹ü¤Æ¿¤¹ü¤Æ¥«,¤@¤ë¤¤¤U¦¯¹ü¤Æ¥«ªF°Ï¤Îªâ¶é¶m¥þ³¡§C¦¬¤J¤á µo©ñ¥Õ¦Ì¤Î­¹¥Îªoµ¥¡C,1,22,96, 2022-01-22
²½¨å,¦è½¬²b­b,·s¥_¥«¤T®l°Ï,,4,8,97, 2022-04-08
²½¨å,¥N¤ÑÆ[­µ·Oµ½°ó,©yÄõ¿¤¥V¤s¶m,,4,26,98, 2022-04-26
ºÖ¼w¥¿¯«¤d¬î,ºÖ¼wªÁ,©yÄõ¿¤¤­µ²¶m,¥Ñ«H²³¦Û³Æ¬¹Â§¡BÂAªá¡B¤ôªG²½«ô¡B°µÀ¸µ¥,2,2,99, 2022-02-02
ªÁ¼y,ºÖ¼wªÁ,©yÄõ¿¤¤­µ²¶m,¥Ñ«H²³¦Û³Æ¬¹Â§¡BÂAªá¡B¤ôªG²½«ô¡B°µÀ¸µ¥,8,15,100, 2022-08-15
³]Ãç,¤Ñ¦Z®c,ª÷ªù¿¤ª÷¨FÂí,,3,20,101, 2022-03-20
·s¬K¬èºÖªk·|,ª÷¤s¦x,°ò¶©¥«·x·x°Ï,®¥¶PÀ±°ÇµÐÂÄ¸t½Ï¡A·s¬K¦~ÀY¡AÁ|¦æ¬èºÖªk·|,1,1,102, 2022-01-01
ºÝ¤È¸`¼y¨å,ª÷¤s¦x,°ò¶©¥«·x·x°Ï,ºÝ¤È¨Î¸`¡A¦ò«e¤j¨Ñ¼y¯¬,5,5,103, 2022-05-05
¦aÂÃªk·|,ª÷¤s¦x,°ò¶©¥«·x·x°Ï,¦aÂÃµÐÂÄ¸t½ÏÁ|¦æ³ø®¦¶WÂËªk·|¡A§G¬I¥­¦w¦Ì¤©«H°Ï,7,23,104, 2022-07-23
Æ[­µªk·|,ª÷¤s¦x,°ò¶©¥«·x·x°Ï,®¥¯¬Æ[­µµÐÂÄ¸t½Ï¡AÁ|¦æ¬èºÖ®ø¨aªk·|,9,17,105, 2022-09-17
ÃÄ®vªk·|,ª÷¤s¦x,°ò¶©¥«·x·x°Ï,®¥¯¬ÃÄ®v¦ò¸t½Ï¡AÁ|¦æ¬èºÖ®ø¨aªk·|,9,30,106, 2022-09-30
¥D¯«¸t½Ï,¤T¸t®c,·s¦Ë¿¤·s®HÂí,,6,24,107, 2022-06-24
¤¤¤¸´¶´ç,¤T¸t®c,·s¦Ë¿¤·s®HÂí,,7,20,108, 2022-07-20
²½¨å,·s¥_¥«¤­ªÑ°Ï»EºÖ®c,·s¥_¥«¤­ªÑ°Ï,,8,8,109, 2022-08-08
²½¨å,º®¿DºÖ¼w®c,·s¥_¥«¸U¨½°Ï,,8,15,110, 2022-08-15
²½¨å,ªFµØ¸t®c,·s¥_¥«·s©±°Ï,,6,1,111, 2022-06-01
«H¦æ¦x²½¨å,«H¦æÁI¦x,»O«n¥«¨Î¨½°Ï,,1,4,112, 2022-01-04
²½¨å,¤K¼w¤T¤¸®c,®ç¶é¥«¤K¼w°Ï,¥¿¤ë¤Q¤­¤é ¤K¤ë¤Q¤­¤é ¤Q¤ë¤Q¤­¤é,7,15,113, 2022-07-15
²½¨å,¹D¥ú¤s¥Ã¼wÄ_®c,·s¥_¥«¸U¨½°Ï,,5,9,114, 2022-05-09
²½¨å,¤¤Ãc¿³«nºÖ¼w¯¨,®ç¶é¥«¤¤Ãc°Ï,,2,2,115, 2022-02-02
²½¨å,¤¤Ãc¿³«nºÖ¼w¯¨,®ç¶é¥«¤¤Ãc°Ï,,8,2,116, 2022-08-02
¥È¤Ñ¤W«Ò¸U¹Ø,¯uªZ®c,»O¥_¥«¸UµØ°Ï,,3,3,117, 2022-03-03
¤¤¤¸´¶´ç,¯uªZ®c,»O¥_¥«¸UµØ°Ï,,7,1,118, 2022-07-01
¶i­»¦^Æq,¯uªZ®c,»O¥_¥«¸UµØ°Ï,,3,1,119, 2022-03-01
²½¨å,¦Á¤î¥©¸t¥P®v¼q,·s¥_¥«¦Á¤î°Ï,,5,7,120, 2022-05-07
¬K¸`,²M¤ô©¥¦x,¹ü¤Æ¿¤ªÀÀY¶m,"Á|¿ì¬èºÖ¬¡°Ê,©øÂÎ®i,¯ùªá®i,¤ì¤Æ¥Û®i,µ¥¬¡°Ê",1,1,121, 2022-01-01
¯D¦ò¸`,²M¤ô©¥¦x,¹ü¤Æ¿¤ªÀÀY¶m,"¯D¦ò¸`¬èºÖªk·|º[¥À¿Ë¸`·P®¦¬èºÖ¬¡°Ê,§K¶O´£¨Ñ¯À­¹¾i¨­À\,«Å¾ÉÀô«O·§©À",4,8,122, 2022-04-08
¤¤¤¸¸`,²M¤ô©¥¦x,¹ü¤Æ¿¤ªÀÀY¶m,Á|¿ì±ç¬Ó¶W«×®ø¨aªk·|,7,9,123, 2022-07-09
³]Ãç,Âí¦è®c,ª÷ªù¿¤ª÷¹ç¶m,,6,18,124, 2022-06-18
³]Ãç,Âí¦è®c,ª÷ªù¿¤ª÷¹ç¶m,,10,12,125, 2022-10-12
¤­©²¤d·³¥Í¤é,«O¦w®c,¹Å¸q¿¤³À¯ó¶m,,10,15,126, 2022-10-15
Ä¬©²¤d·³¸t½Ï,¶¶¶©°ó,«n§ë¿¤®H¨½Âí,Á|¿ì¥Á«UÀ¸¼@¨Ã¿ì²zºÖ®b,4,12,127, 2022-04-12
«ÂÆF¤j±N·Ý¸t½Ï,¶¶¶©°ó,«n§ë¿¤®H¨½Âí,Á|¿ì¥Á«UÀ¸¼@,5,17,128, 2022-05-17
¹A¾ä¤C¤ë´¶´ç,¶¶¶©°ó,«n§ë¿¤®H¨½Âí,ÂX¤j¿ì²z´¶´ç¡A¨Ñªþªñ©~¥Á°Ñ»P,7,15,129, 2022-07-15
²½¨å,¦L¤ëÁI¦x,·s¥_¥«·s©±°Ï,,4,8,130, 2022-04-08
¬è¦wªk·|,ºÖ¹Ø®c,»O¥_¥«¤hªL°Ï,,8,22,131, 2022-08-22
¤Ñ¤W¸t¥À¸t½Ï,¦wÄi®c,°ª¶¯¥«­d¶®°Ï,,3,23,132, 2022-03-23
²½¨å,¤Ó¤l¼q,»O«n¥«¤s¤W°Ï,,8,9,133, 2022-08-09
¦ò½Ï,´ä¤¸¦x,¼ê´ò¿¤´ò¦è¶m,¼yÆg©Î¬O³]Ãç¯¬¹Ø,6,19,134, 2022-06-19
²½¨å,·O¥È¦x,·s¥_¥«·s©±°Ï,,3,3,135, 2022-03-03
²½¨å,³¥¬h«O¦w®c,·s¥_¥«¸U¨½°Ï,,2,15,136, 2022-02-15
²½¨å,·O¼w¼q,·s¥_¥«²H¤ô°Ï,,3,6,137, 2022-03-06
²½¨å,·O¼w¼q,·s¥_¥«²H¤ô°Ï,,6,9,138, 2022-06-09
¯«¹A¤j«Ò½Ï¨°,´f¤¸®c,¹Å¸q¥«ªF°Ï,,4,26,139, 2022-04-26
¥D¯«¸t½Ï,¤T¤¸®c,·s¦Ë¿¤¥_®H¶m,,1,15,140, 2022-01-15
¥D¯«¸t½Ï,¤T¤¸®c,·s¦Ë¿¤¥_®H¶m,,10,15,141, 2022-10-15
²½¨å,ºÖ¹Ø®c,·s¥_¥«·çªÚ°Ï,,2,2,142, 2022-02-02
Æ[¥@­µµÐÂÄ¸t½Ï,¥Ã©M¦x,©yÄõ¿¤Ã¹ªFÂí,,2,19,143, 2022-02-19
²½ÂI,¸U¤¦«°¶ª¼q,«ÌªF¿¤¸U¤¦¶m,,4,26,144, 2022-04-26
¥È¤Ñ¤W«Ò¸t½Ï¸U¹Ø¤T¬N¤ôÄbªk·|,¤¤Ãc¥È¤Ñ®c,®ç¶é¥«¤¤Ãc°Ï,®¥¯¬¡@¥È¤Ñ¤W«Ò¡D¤å©÷«Ò§g¡D¸U¤s°]¯«¸t½Ï¸U¹Ø¦N²»¯¬¹Ø¤j¨å¡AÁ|¦æ¤T¬N¤ôÄbªk·|,3,3,145, 2022-03-03
·s¦~ªï·s¬K¡ã·mÀ±°Ç¬¡°Ê,¤¤Ãc¥È¤Ñ®c,®ç¶é¥«¤¤Ãc°Ï,¥¿¤ëªï·s¬K¡ã®¥¯¬À±°Ç¤j¦ò¡B¤j¤é¦p¨Ó¦ò½Ï¦N²»¡A¤j¦~ªì¤@¤é·mÀ±°Ç¬¡°Ê,1,1,146, 2022-01-01
Æ[­µ¦ò½Ï¡ã¬è¦wÂ§¤æªk·|,¤¤Ãc¥È¤Ñ®c,®ç¶é¥«¤¤Ãc°Ï,®¥¯¬¡@¤d¤â¤d²´Æ[¥@­µµÐÂÄ¦ò½Ï¦N²»¡ãÁ|¦æ¬è¦wÂ§¤æ©µ¥Íªk·| µo©ñ²M´H®a®x¼ú§U¾Çª÷,6,18,147, 2022-06-18
¼yÆg¤¤¤¸¡ã±ç¬Ó¤jÄb¶W«×ªk·|,¤¤Ãc¥È¤Ñ®c,®ç¶é¥«¤¤Ãc°Ï,¼yÆg¤¤¤¸¡D¼yÆg¤¤¤¸¡B±ç¬ÓÄ_Äb¡B¤¤¤¸´¶´ç¡B¶W´çªk·| ®½§U¥Õ¦Ì¡Dª«¸ê±ÏÀÙ²M´H®a®x¾Çµ£,7,7,148, 2022-07-07
¥È¤Ñ¤W«Ò±o¹D¬ö©À¡ãÁ|¦æ²M´H®a®x¥Õ¦Ì±ÏÀÙ¬¡°Ê,¤¤Ãc¥È¤Ñ®c,®ç¶é¥«¤¤Ãc°Ï,®¥¯¬¡@¥È¤Ñ¤W«Ò±o¹D¬ö©À¡DÁ|¦æ²M´H®a®x¥Õ¦Ì±ÏÀÙ¬¡°Ê,9,9,149, 2022-09-09
¶ê¤æÁÂ¿Oªk·|,¤¤Ãc¥È¤Ñ®c,®ç¶é¥«¤¤Ãc°Ï,¶ê¤æ¡DÁÂ¿O¡DÁÂ¤Ó·³¡A·P®¦¤W»a½®¦ö¡B¥nµª¯«Îº¡B¦@¨N¦ò®¦¡AÁ|¦æ¶ê¤æªk·|,12,8,150, 2022-12-08
